epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4014.72,0.98491,1.87805,1.23128,0.7103,0.69426,0.709,0.54535,1.30766,2.76737,1.47313,0.000432689,0.000432689,0.000432689
43,4108.36,0.98591,1.83056,1.22861,0.76694,0.64341,0.70565,0.54427,1.27889,2.64672,1.45315,0.000412246,0.000412246,0.000412246
44,4201.88,0.96969,1.7789,1.21672,0.71774,0.70485,0.71738,0.55555,1.29914,2.62069,1.45926,0.000391966,0.000391966,0.000391966
45,4295.82,0.95669,1.75178,1.21584,0.72686,0.71341,0.72382,0.56276,1.26327,2.58242,1.44724,0.000371885,0.000371885,0.000371885
46,4390.41,0.93843,1.68701,1.19778,0.75352,0.68783,0.71844,0.55025,1.27852,2.66546,1.44643,0.000352037,0.000352037,0.000352037
47,4484.9,0.94358,1.70691,1.19658,0.71643,0.69129,0.71436,0.54972,1.28907,2.65915,1.46218,0.000332457,0.000332457,0.000332457
48,4580.84,0.94084,1.69245,1.20585,0.7332,0.71115,0.73083,0.56305,1.29706,2.6345,1.46357,0.00031318,0.00031318,0.00031318
49,4676.67,0.91937,1.63842,1.18726,0.74234,0.70149,0.72245,0.55728,1.26638,2.62927,1.44448,0.000294239,0.000294239,0.000294239
50,4772.21,0.92636,1.62909,1.1868,0.75928,0.69151,0.72168,0.56245,1.2868,2.65224,1.47157,0.000275668,0.000275668,0.000275668
51,4867.52,0.90738,1.57671,1.17209,0.74912,0.70168,0.72817,0.56586,1.27701,2.62336,1.45925,0.0002575,0.0002575,0.0002575
52,4964.35,0.91425,1.56852,1.17709,0.77617,0.70133,0.73832,0.57104,1.2673,2.5544,1.44028,0.000239766,0.000239766,0.000239766
53,5059.72,0.89803,1.55198,1.17063,0.77254,0.70045,0.73461,0.56617,1.27466,2.57863,1.45353,0.000222497,0.000222497,0.000222497
54,5154.72,0.8733,1.48341,1.15437,0.75933,0.72014,0.73665,0.57427,1.27996,2.56375,1.46794,0.000205723,0.000205723,0.000205723
55,5249.48,0.87428,1.50394,1.15851,0.74235,0.70582,0.72984,0.57195,1.27109,2.5465,1.45554,0.000189475,0.000189475,0.000189475
56,5345.3,0.87185,1.45813,1.15605,0.74356,0.71587,0.73356,0.57356,1.26833,2.58018,1.45318,0.00017378,0.00017378,0.00017378
57,5440.91,0.86103,1.43781,1.14703,0.75884,0.72181,0.73944,0.57821,1.26861,2.54038,1.45421,0.000158667,0.000158667,0.000158667
58,5539.82,0.85815,1.40901,1.14441,0.7598,0.7095,0.73633,0.57449,1.26866,2.57158,1.45308,0.000144161,0.000144161,0.000144161
59,5634.6,0.85532,1.41763,1.14168,0.78483,0.7156,0.74324,0.58137,1.25876,2.53677,1.4527,0.000130287,0.000130287,0.000130287
60,5730.32,0.84196,1.39557,1.13386,0.78065,0.70498,0.74043,0.58021,1.26531,2.55485,1.46056,0.000117072,0.000117072,0.000117072
61,5826.42,0.83657,1.37396,1.13339,0.80385,0.70137,0.74412,0.58108,1.28449,2.57735,1.47391,0.000104537,0.000104537,0.000104537
62,5921.55,0.8434,1.36297,1.12816,0.78256,0.71463,0.74551,0.58315,1.27682,2.5601,1.46563,9.2704e-05,9.2704e-05,9.2704e-05
63,6019.99,0.82069,1.31691,1.1173,0.78073,0.70718,0.73947,0.57795,1.26807,2.55352,1.45185,8.15947e-05,8.15947e-05,8.15947e-05
64,6114.25,0.82305,1.32117,1.11829,0.78263,0.71061,0.74406,0.58285,1.27912,2.58221,1.46186,7.12282e-05,7.12282e-05,7.12282e-05
65,6209.33,0.81887,1.30186,1.11492,0.81273,0.68868,0.74607,0.58715,1.26492,2.55913,1.44938,6.16227e-05,6.16227e-05,6.16227e-05
66,6309.54,0.82074,1.17667,1.09196,0.78534,0.6869,0.72231,0.56316,1.30788,2.67424,1.49742,5.2795e-05,5.2795e-05,5.2795e-05
67,6402.6,0.78517,1.06241,1.07843,0.77772,0.70206,0.72964,0.57163,1.28914,2.61192,1.48107,4.47606e-05,4.47606e-05,4.47606e-05
68,6494.58,0.77979,1.03473,1.07202,0.7709,0.70993,0.73476,0.57563,1.28224,2.57307,1.47778,3.75337e-05,3.75337e-05,3.75337e-05
69,6586.93,0.7682,1.00873,1.06716,0.77369,0.70757,0.73977,0.57836,1.2843,2.59079,1.47774,3.11268e-05,3.11268e-05,3.11268e-05
70,6679.85,0.76233,1.01119,1.05682,0.80692,0.68511,0.73344,0.57565,1.2744,2.59453,1.47176,2.55513e-05,2.55513e-05,2.55513e-05
71,6772.92,0.75487,0.99739,1.05849,0.81426,0.68615,0.73585,0.57729,1.27646,2.59714,1.47251,2.08169e-05,2.08169e-05,2.08169e-05
72,6865.78,0.75106,0.97033,1.05229,0.79245,0.69807,0.73713,0.57797,1.27802,2.58546,1.47426,1.6932e-05,1.6932e-05,1.6932e-05
73,6959.34,0.75486,0.96503,1.05502,0.81821,0.68589,0.73864,0.58024,1.27763,2.58013,1.46974,1.39032e-05,1.39032e-05,1.39032e-05
74,7053.21,0.74598,0.95665,1.05254,0.81299,0.68953,0.74025,0.582,1.28478,2.58056,1.48131,1.1736e-05,1.1736e-05,1.1736e-05
75,7146.81,0.74402,0.97095,1.05201,0.82747,0.68242,0.73965,0.58257,1.28353,2.58195,1.47824,1.04342e-05,1.04342e-05,1.04342e-05
